A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,CY	1.69 	1.59 	1.51 	1.73 	1.84 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,CZ	0.49 	0.49 	0.50 	0.47 	0.46 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,DE	1.04 	1.08 	1.07 	0.98 	0.91 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,DK	1.84 	1.56 	1.56 	1.59 	: 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,EE	0.32 	0.32 	0.28 	0.30 	0.28 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,EL	0.46 	0.44 	0.66 	0.70 	0.71 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,ES	0.61 	0.61 	0.65 	0.70 	: 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,EU27_2020	0.75 	0.73 	0.77 	0.75 	: 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,FI	0.47 	0.51 	0.49 	0.42 	: 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,FR	0.80 	0.78 	0.80 	0.75 	0.72 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,HR	0.75 	0.66 	0.57 	0.61 	0.54 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,HU	0.52 	0.47 	0.51 	0.43 	0.38 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,IE	1.23 	1.18 	1.25 	1.41 	: 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,IS	0.07 	: 	: 	0.01 	: 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,IT	0.76 	0.76 	0.74 	0.81 	: 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,LT	0.32 	0.29 	0.29 	0.25 	: 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,LU	1.25 	1.23 	1.30 	1.24 	1.18 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,LV	0.26 	0.25 	0.25 	0.24 	: 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,ME	0.52 	: 	: 	: 	: 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,MK	: 	1.10 	: 	: 	: 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,MT	3.52 	3.13 	2.81 	3.27 	3.27 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,NL	3.52 	3.52 	3.76 	3.45 	3.31 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,NO	1.20 	1.23 	1.29 	1.21 	: 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,PL	0.70 	0.62 	0.65 	0.69 	: 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,PT	0.59 	0.55 	0.62 	0.63 	0.57 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,RO	0.37 	0.35 	0.41 	0.35 	0.34 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,RS	0.58 	: 	: 	: 	: 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,SE	0.54 	0.53 	0.54 	0.55 	0.55 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,SI	1.04 	0.97 	1.02 	1.01 	: 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,SK	0.35 	0.34 	0.33 	0.33 	0.30 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,UK	0.80 	0.74 	0.84 	: 	: 
